,Name,Position,teamAbbrev,Salary,AvgPointsPerGame
233,Alec Burks,SG,uta,3000.0,0.0
234,Deron Williams,PG,dal,5200.0,28.5
235,T.J. McConnell,PG,phi,3600.0,18.75
236,E'Twaun Moore,SG,nor,4000.0,11.25
237,Metta World Peace,SF,lal,3000.0,0.0
238,Andrew Harrison,PG/SG,mem,3000.0,0.0
239,Kelly Olynyk,PF,bos,3300.0,0.0
240,Courtney Lee,SG,nyk,3800.0,24.0
241,Marreese Speights,C,lac,3200.0,22.5
242,Eric Gordon,SG,hou,5600.0,29.25
243,Joel Bolomboy,PF,uta,3000.0,0.0
244,Nerlens Noel,PF/C,phi,5100.0,0.0
245,Marco Belinelli,SG,cha,3000.0,19.25
246,Trevor Booker,PF,bkn,5000.0,19.0
247,Mike Muscala,C,atl,3400.0,17.75
248,Jon Leuer,PF,det,3800.0,23.75
249,Thomas Robinson,PF,lal,3000.0,0.0
250,Kyle Lowry,PG,tor,7600.0,30.25
251,Brandon Bass,PF/C,lac,3000.0,12.0
252,Chinanu Onuaku,C,hou,3000.0,0.0
253,Marquese Chriss,PF,pho,3200.0,11.5
254,Bruno Caboclo,SF,tor,3000.0,0.0
255,Dario Saric,SF/PF,phi,4500.0,26.75
256,J.J. Redick,SG,lac,4300.0,12.5
257,Solomon Hill,SF,nor,3400.0,4.5
258,Treveon Graham,SG,cha,3000.0,0.0
259,Nikola Mirotic,PF,chi,5100.0,28.5
260,Mason Plumlee,C,por,4600.0,28.0
261,Cheick Diallo,PF,nor,3000.0,0.0
262,Norman Powell,SG/SF,tor,3000.0,16.75
263,Gerald Green,SG/SF,bos,3000.0,9.75
264,James Young,SG,bos,3000.0,1.25
265,Paul Pierce,PF,lac,3000.0,0.0
266,Kyle Singler,SF,okc,3000.0,6.5
267,Henry Ellenson,PF,det,3000.0,0.0
268,Jae Crowder,SF,bos,5600.0,18.25
269,Alexis Ajinca,C,nor,3000.0,0.0
270,Marvin Williams,PF,cha,5000.0,27.5
271,Tim Quarterman,PG,por,3000.0,0.0
272,Paul Millsap,PF,atl,8000.0,24.25
273,Delon Wright,PG,tor,3000.0,0.0
274,Jose Barea,PG/SG,dal,4800.0,22.75
275,Michael Kidd-Gilchrist,SF,cha,5300.0,30.75
276,Jeff Withey,C,uta,3000.0,2.75
277,Joel Embiid,C,phi,5600.0,0.0
278,DeMarre Carroll,SF/PF,tor,4600.0,14.25
279,Tarik Black,C,lal,3000.0,9.75
280,Malcolm Delaney,PG,atl,3000.0,14.25
281,Dante Exum,PG,uta,3000.0,13.0
282,Meyers Leonard,PF,por,3000.0,23.75
283,Isaiah Thomas,PG,bos,7300.0,50.5
284,Kentavious Caldwell-Pope,SG,det,4600.0,34.25
285,Shabazz Napier,PG,por,3000.0,0.0
