['20161214', 'uta', '-7½']
['20161214', 'bos', '+6½']
['20161214', 'sas', '-6½']
['20161215', 'ind', '+3']
['20161215', 'nop', '-3']
['20161215', 'chi', '-1']
['20161215', 'mil', '+1']
['20161215', 'sas', '-8']
['20161215', 'phx', '+8']
['20161215', 'por', '+2½']
['20161215', 'den', '-2½']
['20161215', 'nyk', '+17½']
['20161215', 'gsw', '-17½']
['20161216', 'bkn', '+7']
['20161216', 'orl', '-7']
['20161216', 'det', '-1½']
['20161216', 'was', '+1½']
['20161216', 'cha', '+6½']
['20161216', 'bos', '-6½']
['20161216', 'atl', '+7½']
['20161216', 'tor', '-7½']
['20161216', 'mil', '+6']
['20161216', 'chi', '-6']
['20161216', 'lal', '-8']
['20161216', 'mia', '+8']
['20161216', 'nop', '+12½']
['20161216', 'hou', '-12½']
['20161216', 'sac', '+5½']
['20161216', 'mem', '-5½']
['20161216', 'lac', 'PK-110']
['20161216', 'phi', 'PK-110']
['20161216', 'dal', '+12']
['20161216', 'uta', '-12']
['20161217', 'phx', '+6½']
['20161217', 'okc', '-6½']
['20161217', 'ind', '+4½']
['20161217', 'det', '-4½']
['20161217', 'cha', '+2½']
['20161217', 'atl', '-2½']
['20161217', 'lac', '+15½']
['20161217', 'cle', '-15½']
['20161217', 'hou', '-3']
['20161217', 'min', '+3']
['20161217', 'nyk', '+4']
['20161217', 'den', '-4']
['20161217', 'por', '+14½']
['20161217', 'gsw', '-14½']
['20161218', 'lal', '-5½']
['20161218', 'was', '+5½']
['20161218', 'sac', '-1']
['20161218', 'dal', '+1']
['20161218', 'bos', '-4½']
['20161218', 'mia', '+4½']
['20161218', 'bkn', '+1']
['20161218', 'phi', '-1']
['20161218', 'uta', '-1']
['20161218', 'mem', '+1']
['20161218', 'tor', '-6']
['20161218', 'orl', '+6']
['20161218', 'nop', '+12']
['20161218', 'sas', '-12']
['20161219', 'was', '+5']
['20161219', 'ind', '-5']
['20161219', 'det', '+3']
['20161219', 'chi', '-3']
['20161219', 'atl', '+3½']
['20161219', 'okc', '-3½']
['20161219', 'phx', '+6']
['20161219', 'min', '-6']
['20161219', 'dal', '+8']
['20161219', 'den', '-8']
['20161220', 'lac', '+8½']
['20161220', 'cha', '-8½']
['20161220', 'nop', '-3½']
['20161220', 'phi', '+3½']
['20161220', 'ind', '+4½']
['20161220', 'nyk', '-4½']
['20161220', 'bkn', '+15½']
['20161220', 'tor', '-15½']
['20161220', 'orl', '+3½']
['20161220', 'mia', '-3½']
['20161220', 'bos', '-2']
['20161220', 'mem', '+2']
['20161220', 'sas', 'PK-110']
['20161220', 'hou', 'PK-110']
['20161220', 'cle', '-3½']
['20161220', 'mil', '+3½']
['20161220', 'uta', '+13']
['20161220', 'gsw', '-13']
['20161220', 'por', '-1']
['20161220', 'sac', '+1']
['20161220', 'den', '+8']
['20161220', 'lal', '-8']
['20161221', 'mil', '+6½']
['20161221', 'cle', '-6½']
['20161221', 'min', '+4']
['20161221', 'atl', '-4']
['20161221', 'mem', '+5½']
['20161221', 'det', '-5½']
['20161221', 'was', '+4½']
['20161221', 'chi', '-4½']
['20161221', 'okc', '-2½']
['20161221', 'nop', '+2½']
['20161221', 'hou', '-7']
['20161221', 'phx', '+7']
['20161221', 'sac', '+8']
['20161221', 'uta', '-8']
['20161221', 'dal', '+6½']
['20161221', 'por', '-6½']
['20161222', 'bos', '-1½']
['20161222', 'ind', '+1½']
['20161222', 'orl', '+4½']
['20161222', 'nyk', '-4½']
['20161222', 'gsw', '-14½']
['20161222', 'bkn', '+14½']
['20161222', 'lac', '+5½']
['20161222', 'mia', '-5½']
['20161222', 'sas', '-2½']
['20161222', 'lal', '+2½']
['20161223', 'chi', '+4½']
['20161223', 'cha', '-4½']
['20161223', 'lac', '+4½']
['20161223', 'orl', '-4½']
['20161223', 'okc', '+5½']
['20161223', 'bos', '-5½']
['20161223', 'gsw', '-8½']
['20161223', 'det', '+8½']
['20161223', 'bkn', '+16½']
['20161223', 'cle', '-16½']
['20161223', 'mia', '+5']
['20161223', 'nop', '-5']
['20161223', 'was', '+3½']
['20161223', 'mil', '-3½']
['20161223', 'hou', '-4']
['20161223', 'mem', '+4']
['20161223', 'sac', '+5']
['20161223', 'min', '-5']
['20161223', 'phi', '+6']
['20161223', 'phx', '-6']
['20161223', 'atl', '+6']
['20161223', 'den', '-6']
['20161223', 'tor', '-1½']
['20161223', 'uta', '+1½']
